Serial,Event,Region,District,Date,Location,Country,latitude,longitude,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses USD,Losses Local,Education Centers,Hospitals,Damages in Crops Ha,Lost Cattle,Damages in Roads Mts,GLIDEnumber,Comments
8409,FLOOD,NORTHERN,SABOBA,2023/09/06,WANDAMDO,Ghana,9.7084299,-0.15191,,,,,16,,,,,0,0,,,,0,,,
8407,FLOOD,NORTHERN,KARAGA,2023/08/19,LANGOGU,Ghana,9.9319495,-0.5111247,,,,10,,,,,,0,0,,,5,0,,,The type of crop was not captured
8405,FLOOD,NORTHERN,KARAGA,202/07/27,NANGUN,Ghana,9.9246357,-0.4417483,,,,,13,,,,,0,0,,,,0,,,
8403,FLOOD,NORTHERN,KUMBUMGU,2023/07/06,NAWUNI,Ghana,9.8743057,-0.1929904,,,,,23,,,,,0,0,,,,0,,,
8401,FLOOD,NORTHERN,ZABZUGU,2023/07/06,SAAKUBA,Ghana,9.2939964,0.3744607,,,,,25,,,,,0,0,,,148,0,,,
8399,FLOOD,NORTHERN,ZABZUGU,2023/07/14,TASUNDO,Ghana,9.3043875,0.4024095,,,,,15,,,,,0,0,,,11,0,,,The type of crop was not captured
8397,FLOOD,NORTHERN,ZABZUGU,2023/08/14,AFAYILI,Ghana,9.0894516,-0.0102476,,,,14,,,,,,0,0,,,10,0,,,The type of crop was not captured
8395,FLOOD,NORTHERN,SAGNERIGUMUNICIPAL,2023/07/05,Kpane,Ghana,7.3349467,-2.314878,,,,,10,,,,,0,0,,,6,0,,,The type of crop was not captured
8393,FLOOD,NORTHERN,SAGNERIGUMUNICIPAL,2023/05/07,KALPOHIN,Ghana,9.4230339,-0.8355723,,,,,12,,,,,0,0,,,,0,,,
8390,FLOOD,VOLTA,SOUTH DAYI,2023/10/10,ABUI,Ghana,6.0955043,-0.7634706,,,,,10,,,,,0,0,,,,0,,,
8388,FLOOD,VOLTA,SOUTH DAYI,2023/10/10,AGAVE-AFEDUME,Ghana,6.5458716,0.0633943,,,,,29,,,,,0,0,,,,0,,,
8386,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,SUKLIDZI,Ghana,5.9634576,0.4770904,,,,,2,,,,,0,0,,,,0,,,
8384,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,SONUKPO/AGORDOME,Ghana,5.935757,0.7150454,,,,,14,,,,,0,0,,,,0,,,
8482,RAINSTORM,NORTH EAST,WEST MANPRUSI MUNICIPAL,2024/03/13,KPERIGA,Ghana,7.8680245,-3.7861148,,,,,1,,,,,0,0,,,,0,,,7 HOUSEHOLDS WERE AFFECTED
8480,RAINSTORM,NORTH EAST,WEST MANPRUSI MUNICIPAL,2024/03/13,SALUGU,Ghana,10.2986612,-1.125459,,,,,30,,,,,0,0,1,,,0,,,48 HOUSEHOLDS WERE AFFECTED
8460,RAINSTORM,NORTH EAST,YUNYOO-NASUAN DISTRICT,2024/03/27,TUNA NO.1,Ghana,10.4337652,-0.2404995,,1,,,14,,,,,0,0,1,,,0,,,"5 STORES, 16 HOUSEHOLDS WERE AFFECTED."
8458,RAINSTORM,NORTH EAST,YUNYOO-NASUAN DISTRICT,2024/03/27,GBIMGBELANCHOT,Ghana,10.4825341,-0.0214902,,,,,4,,,,,0,0,,,,0,,,4 HOUSEHOLDS WERE AFFECTED.
8434,RAINSTORM,BONO EAST,KINTAMPO SOUTH DISTRICT,2024/03/11,PANINAMISA,Ghana,7.8308649,-1.7986571,,,,,7,,,,,0,0,,,,0,,,
8432,RAINSTORM,BONO EAST,KINTAMPO SOUTH DISTRICT,2024/03/11,JEMA,Ghana,7.895914,-1.7901645,,,,,2,,,,,0,0,,,,0,,,
8419,RAINSTORM,SAVANNAH,EAST GONJA DISTRICT,2024/01/04,NYAMAI,Ghana,8.5421079,-0.5125082,,,,,,,,,,0,0,2,,,0,,,
8417,RAINSTORM,SAVANNAH,,2024/03/15,CHANGBANI,Ghana,9.340011,-0.9383563,,,,,2,,,,,0,0,1,,,0,,,
8414,FLOOD,NORTHERN,KARAGA,2023/08/04,KARAGA,Ghana,9.9246357,-0.4417483,,,,,22,,,,,0,0,,,,0,,,
8412,FLOOD,NORTHERN,SABOBA,2023/07/30,KPANCHI,Ghana,9.7079985,0.288777,,,,,10,,,,,0,0,,,13,0,,,The type of crop was not captured
8410,FLOOD,NORTHERN,SABOBA,2023/08/22,TUMBONDI,Ghana,9.7079985,0.288777,,,,,21,,,,,0,0,,,10,0,,,The type of crop was not captured
8408,FLOOD,NORTHERN,KARAGA,2023/09/06,SATAN,Ghana,9.9172636,-1.1254092,,,,,11,,,,,0,0,,,6,0,,,The type of crop was not captured
8406,FLOOD,NORTHERN,KARAGA,2023/08/21,SHEBO,Ghana,9.9246357,-0.4417483,,,,,12,,,,,0,0,,,,0,,,
8404,FLOOD,NORTHERN,KUMBUMGU,2023/08/28,BONTANGA,Ghana,9.5731875,-1.0172624,,,,,25,,,,,0,0,,,8,0,,,The type of crop was not captured
8402,FLOOD,NORTHERN,KUMBUMGU,2023/07/07,Walsei,Ghana,9.560591,-0.9580612,,,,,22,,,,,0,0,,,,0,,,
8400,FLOOD,NORTHERN,ZABZUGU,2024/07/12,LIMANFONG,Ghana,9.2943415,0.3455969,,,,,18,,,,,0,0,,,13,0,,,The type of crop was not captured
8398,FLOOD,NORTHERN,ZABZUGU,2023/08/14,BOMAHIGU,Ghana,9.2943415,0.3455969,,,,,16,,,,,0,0,,,,0,,,The type of crop was not captured
8396,FLOOD,NORTHERN,SAGNERIGUMUNICIPAL,2023/09/04,Nyerizee,Ghana,9.4825409,-0.9541982,,,,,8,,,,,0,0,,,,0,,,
8394,FLOOD,NORTHERN,SAGNERIGUMUNICIPAL,2023/08/15,Gumani,Ghana,9.4445264,-0.9090949,,,,,12,,,,,0,0,,,5,0,,,The type of crop was not captured
8392,FLOOD,NORTHERN,SAGNERIGUMUNICIPAL,2023/07/07,Taha,Ghana,9.4358324,-0.7889772,,,,,14,,,,,0,0,,,5,0,,,
8389,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,AGORME,Ghana,5.950409,0.6243323,,,,,19,,,,,0,0,,,,0,,,
8387,FLOOD,VOLTA,SOUTH DAYI,2023/10/10,ZEWOENU,Ghana,6.5458716,0.0633943,,,,,44,,,,,0,0,,,,0,,,
8385,FLOOD,VOLTA,NORTH TONGU,2023/10/10,AVEGOEME,Ghana,6.1442009,0.1332795,,,,6,,,,,,0,0,,,,0,,,
8383,FLOOD,VOLTA,SOUTH DAYI,2023/10/07,AMUTO,Ghana,6.5458716,0.0633943,,,,,50,,,,,0,0,,,,0,,,
8382,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,TSAWOEME/BEKPO,Ghana,5.9634576,0.4770904,,,,,9,,,,,0,0,,,,0,,,
8380,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,ADUTOR,Ghana,5.9586411,0.6980791,,,,,10,,,,,0,0,,,,0,,,
8378,FLOOD,VOLTA,SOUTH DAYI,2023/10/07,ADZAKE,Ghana,6.2777962,0.0398608,,,,,15,,,,,0,0,,,,0,,,
8376,FLOOD,VOLTA,SOUTH DAYI,2023/10/07,KOGOME,Ghana,6.5458716,0.0633943,,,,,34,,,,,0,0,,,,0,,,
8374,FLOOD,VOLTA,NORTH TONGU,2023/10/07,KORBLAKOPE,Ghana,6.1442009,0.1332795,,,,,31,,,,,0,0,,,,0,,,
8372,FLOOD,VOLTA,NORTH TONGU,2023/10/07,ADIDOKPO,Ghana,6.1442009,0.1332795,,,,,23,,,,,0,0,,,,0,,,
8370,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,GBLORKPOR KOPE,Ghana,6.5458716,0.0633943,,,,,5,,,,,0,0,,,10,0,,,
8368,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,TONGOR GBORXOME,Ghana,6.5458716,0.0633943,,,,,5,,,,,0,0,,,,0,,,
8366,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,FANTE KOPE,Ghana,6.5458716,0.0633943,,,,,2,,,,,0,0,,,2,0,,,
8364,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,Kpogboni kope,Ghana,6.5458716,0.0633943,,,,,4,,,,,0,0,,,3,0,,,
8362,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,LOHKOPE,Ghana,6.5458716,0.0633943,,,,,3,,,,,0,0,,,11,0,,,
8355,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,KPOTAME,Ghana,5.9817808,0.5197691,,,,,17,,,,,0,0,,,,0,,,
8353,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,TUANYIKOPE,Ghana,5.9634576,0.4770904,,,,,11,,,,,0,0,,,,0,,,
8351,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,GBADAGBAKOPE,Ghana,5.9634576,0.4770904,,,,,4,,,,,0,0,,,,0,,,
8348,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Badzi,Ghana,6.1442009,0.1332795,,,,,10,,,,,0,0,,,,0,,,
8346,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Nyagbafi,Ghana,6.1442009,0.1332795,,,,,27,,,,,0,0,,,,0,,,
8343,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Abunu,Ghana,6.1442009,0.1332795,,,,,1,,,,,0,0,,,,0,,,
8341,FLOOD,NORTHERN,KPANDAI,2023/10/21,TAKPATSE KOPE,Ghana,8.4693158,-0.0211145,,,,,8,,,,,0,0,,,,0,,,
8339,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,HAWUI,Ghana,5.9062287,-0.1811505,,,,,5,,,,,0,0,,,,0,,,
8338,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,AMEDORME,Ghana,5.8176804,0.6691428,,,,,1,,,,,0,0,,,,0,,,
8335,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Gbetegokope,Ghana,6.1442009,0.1332795,,,,,123,,,,,0,0,,,,0,,,
8333,FLOOD,NORTHERN,KPANDAI,2023/10/21,TETE KOPE,Ghana,8.4693158,-0.0211145,,,,,10,,,,,0,0,,,,0,,,There was no recorded cost of damaged / destroyed dwellings.
8331,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,COMBONI TECH GIRLS,Ghana,6.0031288,0.5843436,,,,,20,,,,,0,0,,,,0,,,
8328,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,GONU-ABLETORKOPE,Ghana,5.9634576,0.4770904,,,,,20,,,,,0,0,,,,0,,,
8326,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Holy Christ Area,Ghana,6.0723625,0.8575657,,,,,65,,,,,0,0,,,,0,,,
8325,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,VETORKOR,Ghana,5.9634576,0.4770904,,,,,8,,,,,0,0,,,,0,,,
8322,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,ADZIKOPE,Ghana,5.9634576,0.4770904,,,,,10,,,,,0,0,,,,0,,,
8321,FLOOD,NORTHERN,KPANDAI,2023/10/21,BULLA,Ghana,8.4693158,-0.0211145,,,,,3,,,,,0,0,,,,0,,,"THERE WERE 33 PEOPLE DISPLACED(11 MALE ADULTS, 10 FEMALE ADULTS AND 6 MALE ADULTS, 6 FEMALE ADULTS)."
8316,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,OLIKEKOPE,Ghana,5.9890847,0.5699425,,,,,28,,,,,0,0,,,,0,,,
8315,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,ANAOSUKOPE,Ghana,5.9634576,0.4770904,,,,,9,,,,,0,0,,,,0,,,
8313,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,SOKPOE,Ghana,5.9890847,0.5699425,,,,,316,,,,,0,0,,,,0,,,
8311,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KORVELENU,Ghana,6.1442009,0.1332795,,,,,56,,,,,0,0,,,,0,,,
8310,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Kedzikorpi,Ghana,6.1442009,0.1332795,,,,,87,,,,,0,0,,,,0,,,
8307,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Avukope,Ghana,6.1432556,0.7903893,,,,,104,,,,,0,0,,,,0,,,
8306,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Awornu,Ghana,6.1442009,0.1332795,,,,,26,,,,,0,0,,,,0,,,
8301,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Keta,Ghana,5.9379638,0.7319733,,,,,78,,,,,0,0,,,,0,,,
8299,FLOOD,VOLTA,NORTH TONGU,2023/10/05,DEGORME,Ghana,6.1442009,0.1332795,,,,,134,,,,,0,0,,,,0,,,
8297,FLOOD,VOLTA,NORTH TONGU,2023/10/05,VOLOKOME,Ghana,6.1442009,0.1332795,,,,,87,,,,,0,0,,,,0,,,
8295,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KPONKOPE,Ghana,6.1442009,0.1332795,,,,,15,,,,,0,0,,,,0,,,
8293,FLOOD,VOLTA,NORTH TONGU,2023/10/05,PATAMIAKPOE,Ghana,6.1442009,0.1332795,,,,,53,,,,,0,0,,,,0,,,
8291,FLOOD,VOLTA,NORTH TONGU,2023/10/05,MORKPLIKPO/ VUGODZI,Ghana,6.1442009,0.1332795,,,,,102,,,,,0,0,,,,0,,,
8289,FLOOD,VOLTA,NORTH TONGU,2023/10/05,ATRATIDZI,Ghana,6.1442009,0.1332795,,,,,37,,,,,0,0,,,,0,,,
8287,FLOOD,VOLTA,NORTH TONGU,2023/10/05,ABORTIA SAPA,Ghana,7.8961632,-3.6733937,,,,,69,,,,,0,0,,,,0,,,
8285,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KODOME,Ghana,6.1442009,0.1332795,,,,63,,,,,,0,0,,,,0,,,
8283,FLOOD,VOLTA,NORTH TONGU,2023/10/05,HUSIKORFE,Ghana,6.1442009,0.1332795,,,,,19,,,,,0,0,,,,0,,,
8281,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KORSIVE,Ghana,6.1442009,0.1332795,,,,,67,,,,,0,0,,,,0,,,
8278,FLOOD,VOLTA,NORTH TONGU,2023/10/05,DORFOR LONDON,Ghana,6.0907002,0.2873419,,,,,47,,,,,0,0,,,,0,,,
8276,FLOOD,VOLTA,NORTH TONGU,2023/10/05,ALABONU,Ghana,6.1442009,0.1332795,,,,,385,,,,,0,0,,,,0,,,
8272,FLOOD,VOLTA,NORTH TONGU,2023/10/05,VUKPOE,Ghana,6.1442009,0.1332795,,,,,74,,,,,0,0,,,,0,,,
8381,FLOOD,VOLTA,SOUTH DAYI,2023/10/07,AMTINU,Ghana,6.5458716,0.0633943,,,,,18,,,,,0,0,,,,0,,,
8379,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,ASIDOWUI,Ghana,5.9109,0.6167251,,,,,15,,,,,0,0,,,,0,,,
8377,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,FIEVE,Ghana,5.9634576,0.4770904,,,,,60,,,,,0,0,,,,0,,,
8375,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,SOGAKOFE NORTH,Ghana,5.9991088,0.5778762,,,,148,,,,,,0,0,,,,0,,,
8373,FLOOD,VOLTA,NORTH TONGU,2023/10/07,TEGEKORFE,Ghana,6.1442009,0.1332795,,,,,34,,,,,0,0,,,,0,,,
8371,FLOOD,VOLTA,NORTH TONGU,2023/10/07,AFLAEKOPE,Ghana,6.1442009,0.1332795,,,,,5,,,,,0,0,,,,0,,,
8369,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,TODOME OLD TOWN,Ghana,6.6399268,0.2940989,,,,,9,,,,,0,0,,,,0,,,
8367,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,AGORDEKE,Ghana,6.5458716,0.0633943,,,,,10,,,,,0,0,,,45,0,,,
8365,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,ATTOKROKPO,Ghana,6.5458716,0.0633943,,,,,7,,,,,0,0,,,4,0,,,
8363,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,TACHIE FARMS,Ghana,6.5458716,0.0633943,,,,,3,,,,,0,0,,,4,0,,,
8361,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,ADZEBUI,Ghana,6.5458716,0.0633943,,,,,2,,,,,0,0,,,8,0,,,
8354,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,AGOKPO,Ghana,5.9634576,0.4770904,,,,,66,,,,,0,0,,,,0,,,
8352,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,ADIDOKPO,Ghana,6.0755741,0.6817653,,,,,5,,,,,0,0,,,,0,,,
8350,FLOOD,VOLTA,SOUTH TONGU,2023/10/10,ATOPRAKPO,Ghana,5.9634576,0.4770904,,,,,1,,,,,0,0,,,,0,,,
8347,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Atsukope,Ghana,6.1442009,0.1332795,,,,,15,,,,,0,0,,,,0,,,
8344,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Dabakpota,Ghana,6.1442009,0.1332795,,,,,53,,,,,0,0,,,,0,,,
8340,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,GBORKPE,Ghana,5.9634576,0.4770904,,,,,1,,,,,0,0,,,,0,,,
8342,FLOOD,VOLTA,NORTH DAYI,2023/10/07,Avano,Ghana,6.8779563,0.1843895,,,,,39,,,,,0,0,,,,0,,,
8337,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Dekpo,Ghana,6.1442009,0.1332795,,,,,76,,,,,0,0,,,,0,,,
8336,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,GADZEKPOTA,Ghana,5.9634576,0.4770904,,,,,41,,,,,0,0,,,,0,,,
8334,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Lenu,Ghana,6.0942858,0.0980555,,,,,34,,,,,0,0,,,,0,,,
8330,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Global,Ghana,6.1442009,0.1332795,,,,,43,,,,,0,0,,,,0,,,
8329,FLOOD,NORTHERN,KPANDAI,2023/10/21,WASAWASA,Ghana,8.2449414,0.1152063,,,,,3,,,,,0,0,,,,0,,,THERE WAS NO ESTIMATED DAMAGE DWELLING/HOUSING COST RECORDED.
8327,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,GAMENU KEDZI,Ghana,6.0252014,0.6367953,,,,,10,,,,,0,0,,,,0,,,
8324,FLOOD,NORTHERN,KPANDAI,2023/10/21,AGLEMENGBE,Ghana,8.4693158,-0.0211145,,,,,3,,,,,0,0,,,,0,,,
8323,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,KPONTEY VADZEKOPE,Ghana,5.9634576,0.4770904,,,,,10,,,,,0,0,,,,0,,,
8320,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Aflame,Ghana,5.5862088,-0.1431733,,,,,27,,,,,0,0,,,,0,,,
8319,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Agoetgagormi,Ghana,6.1442009,0.1332795,,,,,71,,,,,0,0,,,,0,,,
8317,FLOOD,NORTHERN,KPANDAI,2023/10/21,DIGANGAN,Ghana,8.4693158,-0.0211145,,,,,2,,,,,0,0,,,,0,,,
8314,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,VUME,Ghana,6.0075386,0.5453681,,,,,,,,,,0,0,,,,0,,,
8312,FLOOD,VOLTA,SOUTH TONGU,2023/10/05,TEFLE,Ghana,6.0000375,0.560764,,,,,200,,,,,0,0,,,,0,,,
8308,FLOOD,VOLTA,NORTH TONGU,2023/10/05,TORKLORNU,Ghana,6.1442009,0.1332795,,,,,19,,,,,0,0,,,,0,,,
8309,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Vokpo,Ghana,6.1442009,0.1332795,,,,,25,,,,,0,0,,,,0,,,
8305,FLOOD,VOLTA,NORTH TONGU,2023/10/05,NUWLOE,Ghana,6.1442009,0.1332795,,,,,34,,,,,0,0,,,,0,,,
8304,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Lenu-yenu,Ghana,6.1442009,0.1332795,,,,,43,,,,,0,0,,,,0,,,
8300,FLOOD,VOLTA,NORTH TONGU,2023/10/05,CASSAVA FOREST,Ghana,6.1442009,0.1332795,,,,,45,,,,,0,0,,,,0,,,
8298,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KESEGAKOPE,Ghana,6.1442009,0.1332795,,,,,27,,,,,0,0,,,,0,,,
8296,FLOOD,VOLTA,NORTH TONGU,2023/10/05,ATIGONU,Ghana,6.1442009,0.1332795,,,,,6,,,,,0,0,,,,0,,,
8294,FLOOD,VOLTA,NORTH TONGU,2023/10/05,NGORLEKPO,Ghana,6.1442009,0.1332795,,,,,9,,,,,0,0,,,,0,,,
8292,FLOOD,VOLTA,NORTH TONGU,2023/10/05,ABUVIENU,Ghana,6.0525206,0.3171508,,,,,4,,,,,0,0,,,,0,,,
8290,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KLEBETIKOPE,Ghana,6.0607524,0.3150675,,,,,56,,,,,0,0,,,,0,,,
8288,FLOOD,VOLTA,NORTH TONGU,2023/10/05,TORGORME,Ghana,6.1018073,0.1251343,,,,,234,,,,,0,0,,,,0,,,
8286,FLOOD,VOLTA,NORTH TONGU,2023/10/05,TOMEKORPE,Ghana,6.1442009,0.1332795,,,,,18,,,,,0,0,,,,0,,,
8284,FLOOD,VOLTA,NORTH TONGU,2023/10/05,TITIKORFE,Ghana,6.1442009,0.1332795,,,,,28,,,,,0,0,,,,0,,,
8282,FLOOD,VOLTA,NORTH TONGU,2023/10/05,SAYIKOPE,Ghana,5.9890847,0.5699425,,,,,56,,,,,0,0,,,,0,,,
8280,FLOOD,VOLTA,NORTH TONGU,2023/10/05,AFAODE,Ghana,6.3047755,0.1561393,,,,,24,,,,,0,0,,,,0,,,
8277,FLOOD,VOLTA,NORTH TONGU,2023/10/05,DORFOR KOME,Ghana,6.1442009,0.1332795,,,,,143,,,,,0,0,,,,0,,,
8275,FLOOD,VOLTA,NORTH TONGU,2023/10/05,JARANKOR,Ghana,6.1442009,0.1332795,,,,,89,,,,,0,0,,,,0,,,
8271,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KPENU,Ghana,6.1442009,0.1332795,,,,,29,,,,,0,0,,,,0,,,
8271,FLOOD,VOLTA,NORTH TONGU,2023/10/05,KPENU,Ghana,6.1442009,0.1332795,,,,,,,,,,0,0,,,,0,,,
8269,FLOOD,VOLTA,NORTH TONGU,2023/10/07,TORNU,Ghana,6.1442009,0.1332795,,,,,59,,,,,0,0,,,,0,,,
8267,FLOOD,VOLTA,NORTH TONGU,2023/10/07,BATTOR,Ghana,6.0666665,0.3960673,,,,,326,,,,,0,0,,,,0,,,
8265,FLOOD,VOLTA,NORTH TONGU,2023/10/07,MEMORDZI,Ghana,6.1442009,0.1332795,,,,,163,,,,,0,0,,,,0,,,
8261,FLOOD,NORTHERN,KPANDAI,2023/10/28,KAPUI,Ghana,8.4693158,-0.0211145,,,,,5,,,,,0,0,,,,0,,,
8259,FLOOD,NORTHERN,KPANDAI,2023/10/21,KPONO,Ghana,8.4693158,-0.0211145,,,,,45,,,,,0,0,,,,0,,,
8257,FLOOD,NORTHERN,KPANDAI,2023/10/21,TOKLO KOPE,Ghana,8.4693158,-0.0211145,,,,,2,,,,,0,0,,,,0,,,
8250,FLOOD,VOLTA,NORTH TONGU,2023/10/07,Yorve,Ghana,6.1442009,0.1332795,,,,,27,,,,,0,0,,,,0,,,
8246,FLOOD,VOLTA,NORTH TONGU,2023/10/07,DZIMAKOPE,Ghana,5.9868217,0.3119452,,,,,34,,,,,0,0,,,,0,,,
8244,FLOOD,VOLTA,NORTH TONGU,2023/10/07,VOME,Ghana,6.1442009,0.1332795,,,,,123,,,,,0,0,,,,0,,,
8242,FLOOD,VOLTA,NORTH TONGU,2023/10/07,GBLOMU,Ghana,6.1442009,0.1332795,,,,238,,,,,,0,0,,,,0,,,
8240,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,GAPESCO DOWN,Ghana,6.5458716,0.0633943,,,,,5,,,,,0,0,,,,0,,,
8238,FLOOD,VOLTA,SOUTH DAYI,2024/10/05,KAFEE HOTEL,Ghana,6.5907778,0.2026803,,,,,12,,,,,0,0,,,,0,,,
8236,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,DZAKITI,Ghana,6.5458716,0.0633943,,,,,,,,,,0,0,,,,0,,,
8234,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,NKRUMAH KOPE,Ghana,6.5458716,0.0633943,,,,,3,,,,,0,0,,,,0,,,No readily recorded Cost of damaged / destroyed dwellings.
8231,FLOOD,VOLTA,SOUTH DAYI,2023/10/05,SAHOE HOTEL,Ghana,6.2952313,-0.0387747,,,,,3,,,,,0,0,,,,0,,,No readily recorded Cost of damaged / destroyed dwellings.
8227,FLOOD,VOLTA,KETU NORTH MUNICIPAL,2023/10/05,TADZEWU,Ghana,6.1916272,0.8859014,,,,,23,,,,,0,0,,,,0,,,No recorded cost of Cost of damaged / destroyed dwellings.
8225,FLOOD,VOLTA,CENTRAL TONGU,2023/10/06,KPORDZIKOPE,Ghana,6.1660818,0.4081818,,,,,127,,,,,0,0,,,,0,,,No readily recorded cost of damaged / destroyed dwellings.
